,DISTRICT,STREET ID,STREET NAME,SEC ID,BEG LOCATION,END LOCATION,AREA (SqFt),PCI DATE,PCI,Last MnR Date,Last MnR Treatment,Renovation Age (Years),Last Work Year,Treatment Category,Functional Classification,Length (feet),Width (feet),Surface
627104084,['7'],627104,CHANNING WAY,084,PIEDMONT AVE,PROSPECT ST,22680,2022-07-27,27,1993-08-01,MILL AND OVERLAY W/FABRIC,28.0,1993.0,3 - Heavy Rehab,Residential/Local,630,36,Overlay of asphalt over asphalt
931105040,['2'],931105,CHAUCER ST,040,SAN PABLO AVE,CURTIS ST,16500,2022-07-13,18,1997-08-15,MILL AND THICK OVERLAY,24.0,1997.0,3 - Heavy Rehab,Residential/Local,550,30,Overlay of asphalt over asphalt
637106065,['8'],637106,CHERRY ST,065,STUART ST,RUSSELL ST,18000,2022-07-28,79,2003-07-28,RECONSTRUCT SURFACE (AC),18.0,2003.0,4 - Reconstruct,Residential/Local,500,36,Asphalt
319108035,['1'],319108,CHESTNUT ST,035,ROSE ST,CEDAR ST,11900,2022-07-19,14,1992-10-01,MILL AND OVERLAY W/FABRIC,29.0,1992.0,3 - Heavy Rehab,Residential/Local,350,34,Overlay of asphalt over asphalt
322108042,['1'],322108,CHESTNUT ST,042,CEDAR ST,VIRGINIA ST,23400,2022-07-19,36,1994-10-01,MILL AND OVERLAY W/FABRIC,27.0,1994.0,3 - Heavy Rehab,Residential/Local,650,36,Overlay of asphalt over asphalt
322108044,['1'],322108,CHESTNUT ST,044,VIRGINIA ST,UNIVERSITY AVE,58320,2022-07-19,24,1998-08-10,MILL AND OVERLAY W/FABRIC,23.0,1998.0,3 - Heavy Rehab,Residential/Local,1620,36,Overlay of asphalt over asphalt
736109060,['3'],736109,CHILTON WAY,060,BLAKE ST,PARKER ST,10050,2022-07-29,24,1997-08-08,MILL AND OVERLAY W/FABRIC,24.0,1997.0,3 - Heavy Rehab,Residential/Local,335,30,Overlay of asphalt over asphalt
637110060,['8'],637110,CLAREMONT AVE,060,EAST CITY LIMIT NR GARBER RD,RUSSELL AVE,22800,2022-07-29,21,1994-07-01,MILL AND OVERLAY W/FABRIC,28.0,1994.0,3 - Heavy Rehab,Collector,600,38,Overlay of asphalt over asphalt
637110065,['8'],637110,CLAREMONT AVE,065,RUSSELL ST,ASHBY AVE,23800,2022-07-29,18,,,,,,Collector,425,56,Overlay of asphalt over asphalt
638110070,['8'],638110,CLAREMONT AVE,070,ASHBY AVE,SOUTH CITY LIMIT (ALCATRAZ),167160,2022-07-29,53,1994-07-01,MILL AND OVERLAY W/FABRIC,28.0,1994.0,3 - Heavy Rehab,Collector,2985,56,Overlay of asphalt over asphalt
637111060,['8'],637111,CLAREMONT BLVD,060,DERBY ST,CUL-DE-SAC,22400,2022-07-29,27,1996-08-01,MILL AND OVERLAY W/FABRIC,25.0,1996.0,3 - Heavy Rehab,Residential/Local,560,40,Overlay of asphalt over asphalt
637111065,['8'],637111,CLAREMONT BLVD,065,BELROSE AVE,CLAREMONT AVE,32375,2022-07-29,91,2016-10-10,RECONSTRUCT,5.0,2016.0,4 - Reconstruct,Collector,875,37,Asphalt
638112070,['8'],638112,CLAREMONT CRESCENT,070,CLAREMONT AVE,ASHBY AVE,9840,2022-07-20,87,2011-12-15,MILL AND THICK OVERLAY,10.0,2011.0,3 - Heavy Rehab,Residential/Local,410,24,Overlay of asphalt over asphalt
516113030,['6'],516113,CODORNICES RD,030,DEAD END (EUCLID AVE),EUCLID AVE,9000,2022-07-07,71,2016-10-10,RECONSTRUCT,5.0,2016.0,4 - Reconstruct,Residential/Local,600,15,Asphalt
739114070,['8'],739114,COLBY ST,070,ASHBY AVE,WEBSTER ST,10764,2022-07-28,51,,,,,,Residential/Local,299,36,Portland cement
739114080,['8'],739114,COLBY ST,080,WEBSTER ST,END,12320,2022-07-28,75,,,,,,Residential/Local,385,32,Asphalt
627115050,['7'],627115,COLLEGE AVE,050,BANCROFT WAY,DWIGHT WAY,48240,2022-07-28,85,2015-08-07,MILL AND OVERLAY,6.0,2015.0,3 - Heavy Rehab,Collector,1340,36,Overlay of asphalt over asphalt
637115060,['8'],637115,COLLEGE AVE,060,DWIGHT WAY,DERBY ST (S),51480,2022-07-28,35,2000-08-23,RECONSTRUCT STRUCTURE (AC),21.0,2000.0,4 - Reconstruct,Arterial,1430,36,Asphalt
637115065,['8'],637115,COLLEGE AVE,065,DERBY ST (S),ASHBY AVE,64260,2022-07-28,39,2000-08-23,RECONSTRUCT STRUCTURE (AC),21.0,2000.0,4 - Reconstruct,Arterial,1785,36,Asphalt
638115070,['8'],638115,COLLEGE AVE,070,ASHBY AVE,SOUTH CITY LIMIT (ALCATRAZ),77580,2022-07-28,36,2000-08-23,RECONSTRUCT STRUCTURE (AC),21.0,2000.0,4 - Reconstruct,Arterial,2155,36,Asphalt
112116060,['5'],112116,COLORADO AVE,060,BOYNTON AVE,VERMONT AVE,6000,2022-07-29,54,1993-07-01,RECONSTRUCT STRUCTURE (AC),29.0,1993.0,4 - Reconstruct,Residential/Local,250,24,Asphalt
112116065,['5'],112116,COLORADO AVE,065,VERMONT AVE,MICHIGAN AVE,6240,2022-07-18,52,1993-07-01,RECONSTRUCT SURFACE (AC),29.0,1993.0,4 - Reconstruct,Residential/Local,260,24,Asphalt
213119010,['5'],213119,COLUSA AVE,010,NORTH CITY LIMIT (N/O VISALIA),SOLANO AVE,128340,2022-09-30,100,2022-09-30,MILL AND THICK OVERLAY,-1.0,2022.0,3 - Heavy Rehab,Collector,3565,36,Overlay of asphalt over asphalt
213119020,['5'],213119,COLUSA AVE,020,SOLANO AVE,MARIN AVE,30820,2022-07-19,68,1989-12-01,RECONSTRUCT STRUCTURE (AC),32.0,1989.0,4 - Reconstruct,Collector,670,46,Asphalt
213119022,['5'],213119,COLUSA AVE,022,MARIN AVE,MONTEREY AVE,40020,2022-07-19,51,1986-11-01,MILL AND THIN OVERLAY,35.0,1986.0,2 - Light Rehab,Collector,870,46,Overlay of asphalt over asphalt
213119025,['5'],213119,COLUSA AVE,025,MONTEREY AVE,POSEN AVE,44388,2022-07-19,20,1990-11-01,MILL AND OVERLAY W/FABRIC,31.0,1990.0,3 - Heavy Rehab,Collector,1233,36,Overlay of asphalt over asphalt
213119026,['5'],213119,COLUSA AVE,026,POSEN AVE,HOPKINS ST,18720,2022-07-19,25,,,,,,Collector,520,36,Overlay of asphalt over asphalt
418120035,['5'],418120,COMSTOCK CT,035,JAYNES ST,CEDAR ST,7200,2022-07-19,77,2016-05-18,RECONSTRUCT SURFACE (AC),6.0,2016.0,4 - Reconstruct,Residential/Local,300,24,Asphalt
212121010,['5'],212121,CONTRA COSTA AVE,010,YOSEMITE RD,SOLANO AVE,47500,2022-07-18,86,2014-07-09,MILL AND OVERLAY,8.0,2014.0,3 - Heavy Rehab,Residential/Local,2375,20,Overlay of asphalt over asphalt
212121018,['5'],212121,CONTRA COSTA AVE,018,SOLANO AVE,LOS ANGELES AVE,4625,2022-07-18,92,2017-11-30,MILL AND THICK OVERLAY,4.0,2017.0,3 - Heavy Rehab,Residential/Local,185,25,Overlay of asphalt over asphalt
319122030,['1'],319122,CORNELL AVE,030,NORTH CITY LIMIT,GILMAN ST,22950,2022-07-20,40,1986-11-01,MILL AND OVERLAY W/FABRIC,35.0,1986.0,3 - Heavy Rehab,Residential/Local,765,30,Overlay of asphalt over asphalt
319122035,['1'],319122,CORNELL AVE,035,GILMAN ST,PAGE ST,30000,2022-07-20,74,2017-12-01,SLURRY SEAL,4.0,2017.0,0 - Light Maintenance,Residential/Local,1000,30,Overlay of asphalt over asphalt
319122036,['1'],319122,CORNELL AVE,036,PAGE ST,HOPKINS ST,20850,2022-07-20,72,2017-12-01,SLURRY SEAL,4.0,2017.0,0 - Light Maintenance,Residential/Local,695,30,Overlay of asphalt over asphalt
319122039,['1'],319122,CORNELL AVE,039,HOPKINS ST,CEDAR ST,10005,2022-07-20,96,2019-07-03,RECONSTRUCT SURFACE (AC),3.0,2019.0,4 - Reconstruct,Residential/Local,345,29,Asphalt
322122040,['1'],322122,CORNELL AVE,040,CEDAR ST,VIRGINIA ST,19800,2022-07-20,96,2019-07-03,MILL AND THICK OVERLAY,3.0,2019.0,3 - Heavy Rehab,Residential/Local,660,30,Overlay of asphalt over asphalt
115123070,['6'],115123,CORONA CT,070,ARCH ST,DEAD END (ARCH ST),7680,2022-07-07,49,,,,,,Residential/Local,320,24,Overlay of asphalt over asphalt
931125040,['2'],931125,COWPER ST,040,SAN PABLO AVE,BYRON ST,11100,2022-07-13,85,2013-07-16,RECONSTRUCT STRUCTURE (AC),9.0,2013.0,4 - Reconstruct,Residential/Local,370,30,Asphalt
111126010,['6'],111126,CRAGMONT AVE,010,GRIZZLY PEAK BLVD,MARIN AVE,90200,2022-07-07,37,1990-11-01,MILL AND OVERLAY W/FABRIC,31.0,1990.0,3 - Heavy Rehab,Collector,4100,22,Overlay of asphalt over asphalt
115126021,['6'],115126,CRAGMONT AVE,021,MARIN AVE,SANTA BARBARA RD,25530,2022-07-07,81,2017-12-01,SLURRY SEAL,4.0,2017.0,0 - Light Maintenance,Residential/Local,1110,23,Asphalt
115126023,['6'],115126,CRAGMONT AVE,023,SANTA BARBARA RD,EUCLID AVE,18260,2022-07-07,81,2017-12-01,SLURRY SEAL,4.0,2017.0,0 - Light Maintenance,Residential/Local,830,22,Asphalt
115126025,['6'],115126,CRAGMONT AVE,025,EUCLID AVE,BRET HARTE RD,28400,2022-07-07,82,2017-12-01,SLURRY SEAL,4.0,2017.0,0 - Light Maintenance,Residential/Local,1420,20,Asphalt
115126027,['6'],115126,CRAGMONT AVE,027,BRET HARTE RD,SHASTA RD,37275,2022-07-07,79,2017-12-01,SLURRY SEAL,4.0,2017.0,0 - Light Maintenance,Residential/Local,1775,21,Asphalt
111127010,['6'],111127,CRESTON RD,010,GRIZZLY PEAK BLVD (N),SUNSET LANE,42020,2022-07-07,53,1995-06-01,RECONSTRUCT STRUCTURE (AC),27.0,1995.0,4 - Reconstruct,Residential/Local,1910,22,Asphalt
115127020,['6'],115127,CRESTON RD,020,SUNSET LANE,GRIZZLY PEAK BLVD (S),59378,2022-07-07,56,1988-11-01,RECONSTRUCT SURFACE (AC),33.0,1988.0,4 - Reconstruct,Residential/Local,2699,22,Asphalt
115128020,['6'],115128,CRYSTAL WAY,020,EUCLID AVE,NORTH END,1920,2022-07-07,33,2001-11-20,MILL AND THIN OVERLAY,20.0,2001.0,2 - Light Rehab,Residential/Local,80,24,Overlay of asphalt over asphalt
319129030,['1'],319129,CURTIS ST,030,NORTH CITY LIMIT,HOPKINS ST,69600,2022-07-19,28,1995-07-01,MILL AND OVERLAY W/FABRIC,27.0,1995.0,3 - Heavy Rehab,Residential/Local,2400,29,Overlay of asphalt over asphalt
319129038,['1'],319129,CURTIS ST,038,HOPKINS ST,CEDAR ST,11100,2022-07-29,99,2021-11-30,RECONSTRUCT STRUCTURE (AC),0.0,2021.0,4 - Reconstruct,Residential/Local,370,30,Asphalt
322129040,['1'],322129,CURTIS ST,040,CEDAR ST,VIRGINIA ST,19800,2022-07-29,98,2021-11-30,RECONSTRUCT STRUCTURE (AC),0.0,2021.0,4 - Reconstruct,Residential/Local,660,30,Asphalt
322129045,['1'],322129,CURTIS ST,045,VIRGINIA ST,UNIVERSITY AVE,58140,2022-07-19,60,2004-08-31,MILL AND THIN OVERLAY,17.0,2004.0,2 - Light Rehab,Residential/Local,1615,36,Overlay of asphalt over asphalt
931129050,['2'],931129,CURTIS ST,050,UNIVERSITY AVE,DWIGHT WAY,107640,2022-07-13,14,1997-08-18,MILL AND THICK OVERLAY,24.0,1997.0,3 - Heavy Rehab,Residential/Local,2990,36,Overlay of asphalt over asphalt
418131031,['5'],418131,CYPRESS ST,031,ROSE ST,BUENA AVE,8450,2022-07-18,77,1991-08-01,THIN AC OVERLAY(1.5 INCHES),30.0,1991.0,1 - Heavy Maintenance,Residential/Local,325,26,Overlay of asphalt over asphalt
728140050,['7'],728140,DANA ST,050,BANCROFT WAY,DWIGHT WAY,47520,2022-07-28,41,1989-12-01,MILL AND OVERLAY W/FABRIC,32.0,1989.0,3 - Heavy Rehab,Residential/Local,1320,36,Overlay of asphalt over asphalt
736140060,['7'],736140,DANA ST,060,DWIGHT WAY,BLAKE ST,11880,2022-07-28,53,1989-12-01,MILL AND OVERLAY W/FABRIC,32.0,1989.0,3 - Heavy Rehab,Residential/Local,330,36,Overlay of asphalt over asphalt
736140065,['3'],736140,DANA ST,065,BLAKE ST,WARD ST,47520,2022-07-28,56,2008-07-30,RECONSTRUCT STRUCTURE (AC),13.0,2008.0,4 - Reconstruct,Residential/Local,1320,36,Asphalt
739140070,['8'],739140,DANA ST,070,WEBSTER ST,CITY LIMIT (WOOLSEY ST),24480,2022-07-28,55,2011-12-14,MILL AND THICK OVERLAY,10.0,2011.0,3 - Heavy Rehab,Residential/Local,765,32,Overlay of asphalt over asphalt
739141070,['8'],739141,DEAKIN ST,070,ASHBY AVE,PRINCE ST,29520,2022-07-28,86,2020-10-30,SLURRY SEAL,1.0,2020.0,0 - Light Maintenance,Residential/Local,820,36,Asphalt
739141075,['8'],739141,DEAKIN ST,075,PRINCE ST,CITY LIMIT (WOOLSEY ST),13860,2022-07-28,73,2008-04-15,RECONSTRUCT STRUCTURE (AC),14.0,2008.0,4 - Reconstruct,Residential/Local,385,36,Asphalt
516143083,['6'],516143,DEL MAR AVE,083,BUENA VISTA WAY,GLENDALE AVE,16695,2022-07-06,21,,,,,,Residential/Local,795,21,Asphalt
516143085,['6'],516143,DEL MAR AVE,085,GLENDALE AVE,CAMPUS DR,11520,2022-07-06,27,1995-08-01,THIN AC OVERLAY(1.5 INCHES),26.0,1995.0,1 - Heavy Maintenance,Residential/Local,480,24,Overlay of asphalt over asphalt
114144020,['5'],114144,DEL NORTE CT,020,DEL NORTE ST,DEAD END (DEL NORTE ST),1320,2022-07-18,68,2014-07-09,MILL AND OVERLAY,8.0,2014.0,3 - Heavy Rehab,Residential/Local,110,12,Overlay of asphalt over asphalt
114145020,['5'],114145,DEL NORTE ST,020,THE CIRCLE,SUTTER ST,19320,2022-07-18,88,2014-07-09,MILL AND OVERLAY,8.0,2014.0,3 - Heavy Rehab,Collector,690,28,Overlay of asphalt over asphalt
321142030,['1'],321142,DELAWARE ST,030,6TH ST,9TH ST,45840,2022-07-26,71,2017-12-01,SLURRY SEAL,4.0,2017.0,0 - Light Maintenance,Collector,955,48,Asphalt
321142035,['1'],321142,DELAWARE ST,035,9TH ST,SAN PABLO AVE,32160,2022-07-26,73,,,,,,Collector,670,48,Asphalt
322142040,['1'],322142,DELAWARE ST,040,SAN PABLO AVE,ACTON ST,116880,2022-07-26,27,1992-10-01,MILL AND OVERLAY W/FABRIC,29.0,1992.0,3 - Heavy Rehab,Collector,2435,48,Overlay of asphalt over asphalt
322142048,['1'],322142,DELAWARE ST,048,ACTON ST,SACRAMENTO ST,31920,2022-09-20,100,2022-09-20,MILL AND THICK OVERLAY,-1.0,2022.0,3 - Heavy Rehab,Collector,665,48,Overlay of asphalt over asphalt
423142052,['1'],423142,DELAWARE ST,052,DEAD END WEST OF CALIFORNIA,CALIFORNIA ST,13500,2022-07-21,87,2004-12-15,RECONSTRUCT STRUCTURE (AC),17.0,2004.0,4 - Reconstruct,Residential/Local,375,36,Asphalt
423142055,['1'],423142,DELAWARE ST,055,CALIFORNIA ST,MARTIN LUTHER KING JR WAY,72000,2022-07-21,96,2019-10-11,MILL AND THICK OVERLAY,2.0,2019.0,3 - Heavy Rehab,Residential/Local,2000,36,Overlay of asphalt over asphalt
424142060,['4'],424142,DELAWARE ST,060,MARTIN LUTHER KING JR WAY,MILVIA ST,22610,2022-07-26,32,2004-12-15,RECONSTRUCT SURFACE (AC),17.0,2004.0,4 - Reconstruct,Residential/Local,665,34,Asphalt
524142063,['4'],524142,DELAWARE ST,063,MILVIA ST,WALNUT ST,33150,2022-07-26,35,2004-12-15,RECONSTRUCT SURFACE (AC),17.0,2004.0,4 - Reconstruct,Residential/Local,975,34,Asphalt
933146042,['2'],933146,DERBY ST,042,SAN PABLO AVE,MATHEWS ST,16380,2022-07-13,94,2019-10-11,MILL AND THICK OVERLAY,2.0,2019.0,3 - Heavy Rehab,Residential/Local,455,36,Overlay of asphalt over asphalt
933146044,['2'],933146,DERBY ST,044,MATHEWS ST,MABEL ST,21888,2022-07-13,95,2019-10-11,RECONSTRUCT STRUCTURE (AC),2.0,2019.0,4 - Reconstruct,Residential/Local,608,36,Asphalt
933146045,['2'],933146,DERBY ST,045,MABEL ST,SACRAMENTO ST,47196,2022-07-13,29,1992-10-01,MILL AND OVERLAY W/FABRIC,29.0,1992.0,3 - Heavy Rehab,Residential/Local,1311,36,Overlay of asphalt over asphalt
834146050,['3'],834146,DERBY ST,050,SACRAMENTO ST,MARTIN LUTHER KING JR WAY,90360,2022-07-11,18,1992-10-01,MILL AND OVERLAY W/FABRIC,29.0,1992.0,3 - Heavy Rehab,Residential/Local,2510,36,Overlay of asphalt over asphalt
835146060,['3'],835146,DERBY ST,060,MARTIN LUTHER KING JR WAY,MILVIA ST,27930,2022-07-11,80,1992-10-01,MILL AND OVERLAY W/FABRIC,29.0,1992.0,3 - Heavy Rehab,Residential/Local,665,42,Overlay of asphalt over asphalt
735146063,['3'],735146,DERBY ST,063,MILVIA ST,SHATTUCK AVE,26586,2022-07-11,11,1992-10-01,MILL AND OVERLAY W/FABRIC,29.0,1992.0,3 - Heavy Rehab,Residential/Local,633,42,Overlay of asphalt over asphalt
735646065,['3'],735646,DERBY ST,065,SHATTUCK AVE,FULTON ST,24300,2022-07-11,16,,,,,,Residential/Local,675,36,Asphalt
736146070,['3'],736146,DERBY ST,070,FULTON ST,TELEGRAPH AVE,58680,2022-07-29,13,1992-10-01,MILL AND OVERLAY W/FABRIC,29.0,1992.0,3 - Heavy Rehab,Residential/Local,1630,36,Overlay of asphalt over asphalt
736146075,['8'],736146,DERBY ST,075,TELEGRAPH AVE,HILLEGASS AVE (S),32680,2022-07-29,18,1997-08-08,MILL AND OVERLAY W/FABRIC,24.0,1997.0,3 - Heavy Rehab,Residential/Local,860,38,Overlay of asphalt over asphalt
636146078,['8'],636146,DERBY ST,078,HILLEGASS AVE (S),COLLEGE AVE,27360,2022-07-29,22,1997-08-08,MILL AND OVERLAY W/FABRIC,24.0,1997.0,3 - Heavy Rehab,Residential/Local,760,36,Overlay of asphalt over asphalt
637146080,['8'],637146,DERBY ST,080,COLLEGE AVE,PIEDMONT AVE,24161,2022-07-28,28,1996-08-01,MILL AND OVERLAY W/FABRIC,25.0,1996.0,3 - Heavy Rehab,Residential/Local,653,37,Overlay of asphalt over asphalt
637146082,['8'],637146,DERBY ST,082,PIEDMONT AVE,WARRING ST,11914,2022-07-29,26,,,,,,Residential/Local,322,37,Overlay of asphalt over asphalt
637146085,['8'],637146,DERBY ST,085,WARRING ST,BELROSE AVE & TANGLEWOOD RD,43380,2022-07-29,90,2016-10-10,RECONSTRUCT,5.0,2016.0,4 - Reconstruct,Arterial,1205,36,Asphalt
933148065,['2'],933148,DOHR ST,065,WARD ST,RUSSELL ST,42120,2022-07-12,19,1992-10-01,MILL AND OVERLAY W/FABRIC,29.0,1992.0,3 - Heavy Rehab,Residential/Local,1170,36,Overlay of asphalt over asphalt
933148068,['2'],933148,DOHR ST,068,RUSSELL ST,ASHBY AVE,10758,2022-07-12,21,1992-10-01,MILL AND OVERLAY W/FABRIC,29.0,1992.0,3 - Heavy Rehab,Residential/Local,489,22,Overlay of asphalt over asphalt
940148070,['2'],940148,DOHR ST,070,ASHBY AVE,PRINCE ST,19864,2022-07-12,97,2020-10-26,MILL AND OVERLAY,1.0,2020.0,3 - Heavy Rehab,Residential/Local,764,26,Overlay of asphalt over asphalt
637149068,['8'],637149,DOMINGO AVE,068,CITY LIMIT NR RUSSELL ST,TUNNEL RD,8800,2022-07-29,34,1996-08-01,MILL AND OVERLAY W/FABRIC,25.0,1996.0,3 - Heavy Rehab,Residential/Local,220,40,Overlay of asphalt over asphalt
638149070,['8'],638149,DOMINGO AVE,070,TUNNEL RD,THE PLAZA DR,45200,2022-07-29,73,2003-07-28,RECONSTRUCT STRUCTURE (AC),18.0,2003.0,4 - Reconstruct,Residential/Local,1130,40,Asphalt
839150075,['3'],839150,DOVER ST,075,ALCATRAZ AVE,CITY LIMIT (63RD ST),4160,2022-07-12,20,1995-10-01,MILL AND OVERLAY W/FABRIC,26.0,1995.0,3 - Heavy Rehab,Residential/Local,130,32,Overlay of asphalt over asphalt
729152060,['4'],729152,DURANT AVE,060,MILVIA ST,SHATTUCK AVE,33370,2022-07-27,11,1992-11-01,MILL AND OVERLAY W/FABRIC,29.0,1992.0,3 - Heavy Rehab,Collector,710,47,Overlay of asphalt over asphalt
729152064,['4'],729152,DURANT AVE,064,SHATTUCK AVE,FULTON ST,25440,2022-07-27,29,1997-08-12,MILL AND OVERLAY W/FABRIC,24.0,1997.0,3 - Heavy Rehab,Collector,530,48,Overlay of asphalt over asphalt
728152070,['7'],728152,DURANT AVE,070,FULTON ST,BOWDITCH ST,127200,2022-07-27,52,2015-08-14,FIBER MICROSURFACING,6.0,2015.0,0 - Light Maintenance,Collector,2650,48,Overlay of asphalt over asphalt
628152078,['7'],628152,DURANT AVE,078,BOWDITCH ST,COLLEGE AVE,32160,2022-07-27,61,2015-08-14,FIBER MICROSURFACING,6.0,2015.0,0 - Light Maintenance,Collector,670,48,Overlay of asphalt over asphalt
627152080,['7'],627152,DURANT AVE,080,COLLEGE AVE,PIEDMONT AVE,21120,2022-07-27,66,2015-08-14,FIBER MICROSURFACING,6.0,2015.0,0 - Light Maintenance,Collector,640,33,Overlay of asphalt over asphalt
932153055,['2'],932153,DWIGHT CRESCENT,055,6TH ST,7TH ST,18900,2022-07-13,92,2019-10-11,MILL AND THICK OVERLAY,2.0,2019.0,3 - Heavy Rehab,Collector,420,45,Overlay of asphalt over asphalt
920155020,['2'],920155,DWIGHT WAY,020,4TH ST,6TH ST,23400,2022-07-13,12,1999-08-31,MILL AND THIN OVERLAY,22.0,1999.0,2 - Light Rehab,Collector,650,36,Overlay of asphalt over asphalt
932155030,['2'],932155,DWIGHT WAY,030,6TH ST,7TH ST,11160,2022-07-13,27,1999-08-31,MILL AND THIN OVERLAY,22.0,1999.0,2 - Light Rehab,Collector,310,36,Overlay of asphalt over asphalt
932155032,['2'],932155,DWIGHT WAY,032,7TH ST,SAN PABLO AVE,48600,2022-07-13,37,2000-06-14,MILL AND OVERLAY W/FABRIC,22.0,2000.0,3 - Heavy Rehab,Arterial,1350,36,Overlay of asphalt over asphalt
931155040,['2'],931155,DWIGHT WAY,040,SAN PABLO AVE,SACRAMENTO ST,87480,2022-07-13,91,2015-11-17,MILL AND OVERLAY,6.0,2015.0,3 - Heavy Rehab,Arterial,2430,36,Overlay of asphalt over asphalt
830155050,['4'],830155,DWIGHT WAY,050,SACRAMENTO ST,MARTIN LUTHER KING JR WAY,101985,2022-07-12,22,1998-12-10,MILL AND OVERLAY W/FABRIC,23.0,1998.0,3 - Heavy Rehab,Arterial,2615,39,Overlay of asphalt over asphalt
829155060,['4'],829155,DWIGHT WAY,060,MARTIN LUTHER KING JR WAY,MILVIA ST,23940,2022-07-12,53,1998-12-10,MILL AND OVERLAY W/FABRIC,23.0,1998.0,3 - Heavy Rehab,Arterial,665,36,Overlay of asphalt over asphalt
729155064,['4'],729155,DWIGHT WAY,064,MILVIA WAY,SHATTUCK AVE,26980,2022-07-12,55,1998-12-10,MILL AND OVERLAY W/FABRIC,23.0,1998.0,3 - Heavy Rehab,Arterial,710,38,Overlay of asphalt over asphalt
729155066,['4'],729155,DWIGHT WAY,066,SHATTUCK AVE,FULTON ST,24000,2022-07-12,86,2013-06-27,MILL AND OVERLAY,9.0,2013.0,3 - Heavy Rehab,Arterial,600,40,Overlay of asphalt over asphalt
728155070,"['4', '7']",728155,DWIGHT WAY,070,FULTON ST,DANA ST,53000,2022-07-12,84,2013-06-27,MILL AND OVERLAY,9.0,2013.0,3 - Heavy Rehab,Arterial,1325,40,Overlay of asphalt over asphalt
728155073,['7'],728155,DWIGHT WAY,073,DANA ST,TELEGRAPH AVE,26800,2022-07-28,75,2013-06-27,MILL AND OVERLAY,9.0,2013.0,3 - Heavy Rehab,Arterial,670,40,Overlay of asphalt over asphalt
728155075,"['7', '8']",728155,DWIGHT WAY,075,TELEGRAPH AVE,BOWDITCH ST,23760,2022-07-28,80,2015-08-07,MILL AND OVERLAY,6.0,2015.0,3 - Heavy Rehab,Arterial,660,36,Overlay of asphalt over asphalt
628155078,"['7', '8']",628155,DWIGHT WAY,078,BOWDITCH ST,COLLEGE AVE,23760,2022-07-28,87,2015-08-07,MILL AND OVERLAY,6.0,2015.0,3 - Heavy Rehab,Arterial,660,36,Overlay of asphalt over asphalt
627155080,"['7', '8']",627155,DWIGHT WAY,080,COLLEGE AVE,PIEDMONT AVE (E),27900,2022-07-28,87,2015-08-30,MILL AND OVERLAY,6.0,2015.0,3 - Heavy Rehab,Arterial,775,36,Overlay of asphalt over asphalt
627155083,"['7', '8']",627155,DWIGHT WAY,083,PIEDMONT AVE (E),HILLSIDE AVE,27540,2022-07-28,13,1993-09-01,MILL AND OVERLAY W/FABRIC,28.0,1993.0,3 - Heavy Rehab,Residential/Local,765,36,Overlay of asphalt over asphalt
627155085,['8'],627155,DWIGHT WAY,085,HILLSIDE AVE,DEAD END ABOVE HILLSIDE AVE,21240,2022-07-28,14,1993-09-01,RECONSTRUCT SURFACE (AC),28.0,1993.0,4 - Reconstruct,Residential/Local,590,36,Asphalt
627155090,['8'],627155,DWIGHT WAY,090,PANORAMIC WAY,EAST CITY LIMIT,2800,2022-07-28,93,2019-08-16,RECONSTRUCT STRUCTURE (AC),2.0,2019.0,4 - Reconstruct,Residential/Local,100,28,Asphalt
920059050,['2'],920059,EAST BOLIVAR DR,050,ADDISON ST,DEAD END NR CHANNING,43200,2022-07-13,23,,,,,,Residential/Local,1800,24,Asphalt
320225030,['1'],320225,EAST FRONTAGE RD,030,NORTH CITY LIMIT,GILMAN ST,43200,2022-07-20,40,1988-11-01,MILL AND OVERLAY W/FABRIC,33.0,1988.0,3 - Heavy Rehab,Collector,1350,32,Overlay of asphalt over asphalt
320225040,['1'],320225,EAST FRONTAGE RD,040,GILMAN ST,HEARST AVE,125664,2022-07-20,30,1995-07-01,MILL AND OVERLAY W/FABRIC,27.0,1995.0,3 - Heavy Rehab,Collector,3696,34,Overlay of asphalt over asphalt
516171080,['6'],516171,EAST PARNASSUS CT,080,PARNASSUS RD,DEAD END (PARNASSUS RD),4620,2022-07-06,92,2016-10-10,RECONSTRUCT,5.0,2016.0,4 - Reconstruct,Residential/Local,210,22,Asphalt
418173030,['5'],418173,EDITH ST,030,ROSE ST,CEDAR ST,41440,2022-07-18,65,2008-08-25,MILL AND THICK OVERLAY,13.0,2008.0,3 - Heavy Rehab,Residential/Local,1295,32,Overlay of asphalt over asphalt
423173040,['1'],423173,EDITH ST,040,CEDAR ST,VIRGINIA ST,19140,2022-07-21,49,2008-08-25,MILL AND THICK OVERLAY,13.0,2008.0,3 - Heavy Rehab,Residential/Local,638,30,Overlay of asphalt over asphalt
931174055,['2'],931174,EDWARDS ST,055,BANCROFT WAY,DWIGHT WAY,47880,2022-07-12,56,1989-12-01,RECONSTRUCT SURFACE (AC),32.0,1989.0,4 - Reconstruct,Residential/Local,1330,36,Asphalt
638176070,['8'],638176,EL CAMINO REAL,070,DOMINGO AVE,THE UPLANDS,44160,2022-07-20,80,2008-04-14,RECONSTRUCT STRUCTURE (AC),14.0,2008.0,4 - Reconstruct,Residential/Local,1840,24,Asphalt
